community_number,collective_accuracy,collective_accuracy_precision,minority_competence,majority_competence,number_of_minority,influence_minority_proportion,homophily
0, 0.29, 0.17787145596535947, 0.6937992179285548, 0.6154927550484821, 40, 0.4666666666666667, 0.7264235856427508
1, 0.55, 0.19501395417987877, 0.692579044741019, 0.683140531488642, 32, 0.5016666666666667, 0.5688357318644096
2, 0.56, 0.19458010724830355, 0.5531040363461005, 0.571501071750889, 36, 0.43333333333333335, 0.5509156659224764
3, 0.59, 0.19279511287643253, 0.6927799545125145, 0.6764500336546941, 34, 0.4716666666666667, 0.6199891150327115
4, 0.41, 0.19279511287643258, 0.67227654342078, 0.645027946471306, 25, 0.495, 0.5140849882995155
5, 0.2, 0.15679711876320435, 0.6950624577387039, 0.5573098204708314, 39, 0.4766666666666667, 0.5788534335555866
6, 0.58, 0.19347137966335892, 0.6965359537362705, 0.6792706375653859, 42, 0.46, 0.659462179714973
7, 0.71, 0.17787145596535958, 0.6298153999521332, 0.6815038187701917, 34, 0.4533333333333333, 0.7446099473015085
8, 0.44, 0.1945801072483036, 0.688695805531332, 0.61760793197951, 41, 0.49, 0.5630420569972825
9, 0.85, 0.13996942518114475, 0.6167133213692657, 0.672221114049752, 27, 0.405, 0.706714042328809
10, 0.37, 0.18925581112386491, 0.6749436965745865, 0.6100640189411072, 28, 0.465, 0.5433129998456713
11, 0.6, 0.1920364670542125, 0.5873519628747672, 0.6121542488157977, 34, 0.5033333333333333, 0.6069699666169572
12, 0.61, 0.1911944615770167, 0.6549788086666456, 0.6395356615104149, 27, 0.4116666666666667, 0.665622424180546
13, 0.57, 0.19406612862136763, 0.6039457097672055, 0.5804847965857168, 26, 0.4166666666666667, 0.7190450041262795
14, 0.53, 0.19564328684980808, 0.6270450356130267, 0.65415385251889, 36, 0.52, 0.5047702720178872
15, 0.63, 0.18925581112386491, 0.6323002121416366, 0.6882139612187119, 44, 0.48833333333333334, 0.5562675725109252
16, 0.34, 0.18569042617903186, 0.6542668528433483, 0.5752396795253358, 37, 0.49833333333333335, 0.5984391739214261
17, 0.89, 0.12265053094804856, 0.5512996486902058, 0.6868579102240058, 26, 0.4483333333333333, 0.6553990703278849
18, 0.58, 0.19347137966335892, 0.5655961504817372, 0.5516319608908504, 37, 0.47, 0.7340737904980574
19, 0.51, 0.19595719525360256, 0.6900548250798401, 0.6831403529822648, 30, 0.49, 0.5079700929552128
20, 0.37, 0.18925581112386491, 0.6215100039184321, 0.5634397280047327, 37, 0.4216666666666667, 0.7090519546864911
21, 0.79, 0.15966189505992423, 0.5730916072877809, 0.6585467261574108, 43, 0.5183333333333333, 0.5128465037740102
22, 0.5, 0.1959963984540054, 0.6357230938452982, 0.6219773025564559, 27, 0.4166666666666667, 0.6452222999445714
23, 0.51, 0.19595719525360256, 0.6522132086792746, 0.6160884894167049, 44, 0.48333333333333334, 0.7003446448643003
24, 0.61, 0.1911944615770167, 0.552484187296054, 0.601169899568464, 41, 0.475, 0.7422943735735086
25, 0.76, 0.1674135106727781, 0.6103520358881578, 0.6875737888180995, 40, 0.47333333333333333, 0.5681674749584571
26, 0.53, 0.19564328684980808, 0.6100722437618515, 0.5901010130527856, 31, 0.44333333333333336, 0.5164509200438299
27, 0.53, 0.19564328684980808, 0.6611938566611055, 0.6101435006165028, 27, 0.4083333333333333, 0.638862333885974
29, 0.81, 0.15377912894860946, 0.6634444922702135, 0.6857650023875153, 30, 0.415, 0.6848273792391995
28, 0.6, 0.1920364670542125, 0.6133368956174916, 0.6283722985560906, 42, 0.5133333333333333, 0.5364634011416698
30, 0.7, 0.1796336663708411, 0.5894926628209821, 0.623769504262501, 27, 0.48333333333333334, 0.5836833119251026
31, 0.28, 0.17600432929356435, 0.6943475914420573, 0.5872046713399628, 37, 0.475, 0.5534546228165246
32, 0.45, 0.19501395417987882, 0.6529178678778211, 0.5812356221716137, 26, 0.41833333333333333, 0.7167796881178949
34, 0.72, 0.17600432929356447, 0.6797023675045535, 0.684134389290389, 35, 0.44166666666666665, 0.5528858939164358
33, 0.58, 0.19347137966335892, 0.5841154630532144, 0.6080948800396233, 25, 0.49166666666666664, 0.5421193209474613
35, 0.47, 0.19564328684980808, 0.6956832021339138, 0.6217358946474885, 37, 0.45166666666666666, 0.7031422621475152
36, 0.72, 0.17600432929356447, 0.5899265858264174, 0.6763627382031296, 34, 0.48, 0.557547670778717
38, 0.42, 0.19347137966335898, 0.6636865867094214, 0.6118569782895209, 37, 0.45666666666666667, 0.6806210420862173
39, 0.32, 0.182855291351718, 0.6348083134852882, 0.5542640384323367, 40, 0.4816666666666667, 0.6387523089877484
40, 0.84, 0.14370693309667293, 0.5625908779271199, 0.6928252418487839, 38, 0.485, 0.5809981194152916
41, 0.53, 0.19564328684980808, 0.6043595983609764, 0.5715449033060683, 26, 0.42833333333333334, 0.6777836020143437
42, 0.37, 0.18925581112386491, 0.6668506829410797, 0.6022292471865643, 38, 0.43666666666666665, 0.7018403155619187
43, 0.53, 0.19564328684980808, 0.5584294020221688, 0.5812672001763866, 38, 0.475, 0.6401014910553685
44, 0.41, 0.19279511287643258, 0.6691494549862614, 0.6012006483639517, 32, 0.42, 0.6089307857686459
45, 0.73, 0.1740289095017047, 0.6334831827669571, 0.6903581246178445, 44, 0.4683333333333333, 0.6778031293853789
46, 0.74, 0.17194146412096756, 0.5657282971275159, 0.62319941740002, 43, 0.47333333333333333, 0.6142242092567402
47, 0.82, 0.1505987147268466, 0.5546723823299592, 0.6345263827112763, 39, 0.44333333333333336, 0.6919098391174562
48, 0.61, 0.1911944615770167, 0.6670748345161637, 0.6862205603007225, 25, 0.4716666666666667, 0.5361453935326775
49, 0.95, 0.08543284941589424, 0.5623526023262961, 0.6905990986347568, 29, 0.41333333333333333, 0.6856249773318642
50, 0.41, 0.19279511287643258, 0.6289775588847686, 0.5739405497720023, 42, 0.4716666666666667, 0.712326225242621
